id,severity,category,status,title,fix_before_story_tutorial,fix_before_final_menu_polish,evidence_summary,suggested_fix_direction,dependencies
CI-AUDIT-001,Blocker,tooling,confirmed,Release gate is NO_GO on the current checkout,true,true,"npm run release:gate:json failed with releaseReady=false, 5 unresolved blockers, 1 pending manual, 6 waiver candidates","Resolve or explicitly waive release-gate blockers with evidence",""
CI-AUDIT-002,Blocker,progression,confirmed,Automated fresh-run stops before the expected Spirit Severing cap,true,true,"release:fresh-run-report final realm was soul_formation instead of spirit_severing","Decide intended cap and repair route or acceptance contract","CI-AUDIT-001"
CI-AUDIT-003,Blocker,balance,confirmed,Balance and route timing probes fail before Foundation entry,true,true,"balance/report, route-report, and reclaim-route-report all failed with missing foundation_entry","Repair timing probe setup or transition conditions, then regenerate measurements","CI-AUDIT-001"
CI-AUDIT-004,High,player-guidance,confirmed,Fresh life-start allows live Qi and Breakthrough Ready before identity completion,true,true,"SS-016 shows No Path selected with Qi over cap and Breakthrough Ready under path wizard","Gate cultivation and breakthrough until life-start is complete or make pre-life state explicit",""
CI-AUDIT-005,High,tooling,confirmed,Full contract runner fails on Windows fixture emission,true,true,"npm run test:contracts failed with TS5033 writing tmp-progression-fixtures","Repair fixture cleanup/write path",""
CI-AUDIT-006,High,technical,confirmed,Standalone trial lifecycle tests fail on pavilion content fixture shape,true,true,"trialLifecycle.test.js failed with PavilionContent manifest root must be an object","Fix lifecycle fixture content bootstrap","CI-AUDIT-005"
CI-AUDIT-007,Medium,technical,likely,Release gate still flags legacy gate/offline/prestige waiver candidates,false,true,"release gate warned on gate namespace split, offline pipeline split, hidden prestige consumer, partial reset","Clean up or explicitly accept waivers","CI-AUDIT-001"
CI-AUDIT-008,Medium,security,confirmed,npm audit reports high and moderate dependency vulnerabilities,false,true,"npm audit found high xmldom, high vite, moderate brace-expansion, moderate postcss","Update vulnerable dependencies after compatibility checks",""
CI-AUDIT-009,Medium,performance,confirmed,Production build passes with asset and bundle warnings,false,true,"build warned on stale Browserslist, unresolved InsideDungeon asset, large chunks","Create build-warning cleanup packet",""
CI-AUDIT-010,Info,progression,fixed-in-current-build,Focused core campaign contracts pass,false,false,"direct compiled tests passed P0 path/gate/city/prestige/offline/prestige catalog except lifecycle fixture failures","Preserve with green runners while fixing remaining blockers",""
